﻿등급,회원사,홈페이지,지역,사업장도로명주소,주요업종(국민연금 신고),고용현황(국민연금 가입자),매출액(억원),매출연도,주요제품,부설연구소,출처,비고
회장사,HD건설기계(주),https://www.hd-ce.com/kr/,,,,,34381,2024,"굴착기·휠로더 등 건설기계 완성차 (브랜드 ROBEX), 전기·수소 친환경 장비 개발",유,"[조사] 굿모닝경제/인포스탁데일리(2024 매출 3조4381억), HD현대건설기계 국내센터(분당 글로벌 R&D센터)·용인 기술혁신센터 공식 표기. ※회원사명 'HD건설기계'=상장사 HD현대건설기계(267270)",국민연금 미매칭 ｜ 국민연금 미매칭이나 협회 회장사=HD현대건설기계로 확정
부회장사,볼보그룹코리아(주),http://www.volvoce.co.kr,경남 창원시,경상남도 창원시 성산구 두산볼보로,상품 종합 도매업,1058,14494,2023,"굴삭기·굴절식트럭 등 건설기계 제조·판매 (창원공장 생산), 전기굴착기·배터리팩",유,"국민연금('26.5) ｜ [조사] catch.co.kr(매출 1조4494억, 사원 1459명)·volvoce.com·디지털창원문화대전: 창원공장에 조립생산 공장+연구개발(R&D)센터 구성. 연도는 catch 기재 직전 회계연도 추정",2024 확정 매출은 미공개; catch 기준치 사용
부회장사,(주)다보정밀,http://www.dabo21.com,인천 남동구,인천광역시 남동구 남동대로,건설 및 채광용 기계장비 제조업,58,257,2023,"굴삭기 캐빈 Assy·지게차 조립 등 중장비 부품 OEM(두산인프라코어), EPP·EPS 진공성형기",유,"국민연금('26.5) ｜ [조사] saramin(2023 매출 257.8억, 사원 79명; 2020년 219.3억)·komachine·잡코리아: '자체 연구소 설립' 명시","직전 2020년 219억 대비 증가; 홈페이지 dabo21.com 인증서 오류로 미접속, 코머신/잡코리아로 제품·연구소 확인"
부회장사,대모엔지니어링(주),http://www.daemo.co.kr,경기 시흥시,경기도 시흥시 엠티브이26로58번길,건설 및 채광용 기계장비 제조업,91,408,2024,"유압브레이커·콘크리트크러셔·고철절단쉐어·퀵커플러 등 굴삭기용 어태치먼트, 스마트 브레이커(ICT)",불명,"국민연금('26.5) ｜ [조사] saramin(2024 매출 408.4억), daemo.co.kr 홈페이지: 'R&D 투자·특허 140여건' 강조하나 기업부설연구소/기술연구소 명칭 미표기. 코스닥 상장사(2019)",R&D 활동은 있으나 홈페이지에 연구소 명칭 명시 없어 보수적으로 불명
부회장사,(주)서연탑메탈,http://www.seoyontop.com/,인천 남동구,인천광역시 남동구 청능대로410번길,주형 및 금형 제조업,201,1730,2023,자동차 프레스·사출금형 및 굴착기 캐빈 등 건설중장비 부품 (서연그룹 계열),유,"국민연금('26.5) ｜ [조사] 검색결과(2023 매출 1730억, 사원 220명)·seoyontop.com 홈페이지 R&D 메뉴에 '연구소 소개'·성형해석/3D설계 표기. 코스피 상장사(019770)",
부회장사,(주)우진,http://www.woojin.co.kr,경기 화성시,경기도 화성시 동탄구 동탄역로,산업 처리공정 제어장비 제조업,162,1407,2024,"원전·발전소용 계측기, 온도센서, 유량계, 자동화·진단장비 등 산업 계측제어기기 (센싱기술 전문)",불명,"국민연금('26.5) ｜ [조사] inthenews(2024 연결매출 1407억, 영업익 161억)·fnguide(코스피 105840)·woojininc.com 홈페이지: 'R&D'를 사업부문으로 표기하나 부설연구소 명칭 미표기","확인요(동명 14법인,상호 짧음) ｜ 동명 다수 법인 중 화성 동탄·산업처리공정 제어장비=상장사 우진(105840)로 확정. CSV 홈페이지 woojin.co.kr는 오기, 실제 woojininc.com"
부회장사,(주)원우ENG,http://www.wonwooeng.com,경북 경주시,경상북도 경주시 외동읍 외동농공단지길,금속 문  창  셔터 및 관련제품 제조업,17,229,2024,굴삭기 버켓·어태치먼트 등 건설중장비 부품 제조,불명,"국민연금('26.5) ｜ [조사] catch.co.kr/잡코리아/사람인 (228.6억, 2024년 기준, 전년比 26%↓). 주의: 동명 '원우이엔지'(영상·카메라, wonwoo.com)는 별개 법인 — 본 건은 경주 외동 굴삭기부품 wonwooeng.com. 홈페이지 인증서 만료로 미접속, 부설연구소 확인 불가.",고용 17명·매출 229억은 굴삭기부품 가공업 특성상 정합. 동명 5법인 아님 주의(영상카메라사 혼동 배제).
부회장사,(주)월드튜브,http://www.worldtube.co.kr,경남 김해시,경상남도 김해시 진례면 고모로,그 외 자동차용 신품 부품 제조업,128,376,2025,"건설중장비·자동차용 고압배관(튜브·파이프 벤딩품), 연료전지·나노신소재 부품",불명,"국민연금('26.5) ｜ [조사] 사람인 재무(2025년 376.1억, 2024년 290.6억, 2023년 352.4억). 홈페이지 자체서명 인증서로 미접속, 부설연구소 표기 확인 불가.",건설중장비용 고압배관류 주력. 연구소 여부는 홈페이지 미접속으로 불명.
부회장사,(주)한울에이치앤피이,http://www.ihose.co.kr,경남 양산시,경상남도 양산시 유산공단2길,BIZ_NO미존재사업장,112,,,"유압호스 조립체(HOSE ASS'Y), 호스릴 등 건설장비·조선·해양플랜트용 유공압 부품",불명,"국민연금('26.5) ｜ [조사] 홈페이지(ihose.co.kr) 회사소개로 제품 확인. 매출은 비외감 중소기업(직원 97명)으로 공개 수치 없음 — nicebizinfo·사람인 모두 매출액 비공개(2013년 295.8억 옛 자료만 존재, 최신 아님). 홈페이지 인증서 오류로 연혁 미확인.",현대중공업·대우조선·삼성중공업 등 납품. 최신 매출 비공개로 공란.
부회장사,(주)화영,http://www.hwa-young.co.kr,부산 강서구,부산광역시 강서구 과학산단1로60번길,그 외 자동차용 신품 부품 제조업,150,684,2024,"차량·건설장비용 브레이크·연료튜브, LPI 튜브, 천연가스 연료필터 등 배관부품",불명,"국민연금('26.5) ｜ [조사] 사람인 기업정보(683.8억, 직원 145명). 두산인프라코어·대우버스·화승R&A 1차 협력사. 비고 '동명 5법인' — 부산 강서구 손화현 대표 화영으로 매칭. 홈페이지 인증서 오류로 연구소 표기 미확인.","확인요(동명 5법인,상호 짧음) ｜ 동명 다수이나 부산 강서 자동차/건설장비 배관부품사로 지역·업종 일치. 매출 기준연도 사이트 명시 없으나 2024 회계연도로 추정."
